         664316 function calls (653253 primitive calls) in 2.797 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      782    0.000    0.000    0.000    0.000 {built-in method torch._C._add_docstr}
      446    0.000    0.000    0.003    0.000 colors.py:178(to_rgba)
       81    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       88    0.000    0.000    0.004    0.000 deprecation.py:353(delete_parameter)
      410    0.000    0.000    0.004    0.000 pyparsing.py:1423(copy)
      261    0.000    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      644    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
    92/77    0.000    0.000    0.003    0.000 typing.py:180(_subs_tvars)
       95    0.000    0.000    0.001    0.000 typing.py:212(_remove_dups_flatten)
      644    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
      160    0.000    0.000    0.001    0.000 shape_base.py:612(column_stack)
        1    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
      576    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      717    0.000    0.000    0.019    0.000 inspect.py:2829(from_callable)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
       67    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      196    0.000    0.000    0.015    0.000 sre_compile.py:598(_code)
      717    0.000    0.000    0.019    0.000 inspect.py:3081(signature)
      591    0.000    0.000    0.001    0.000 posixpath.py:64(isabs)
        1    0.000    0.000    0.002    0.002 pyplot.py:2293(_setup_pyplot_info_docstrings)
      274    0.000    0.000    0.003    0.000 function_base.py:451(add_newdoc)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._autograd_init}
       56    0.000    0.000    0.002    0.000 __init__.py:689(_open_file_or_url)
      634    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
  222/189    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      197    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
       13    0.000    0.000    0.001    0.000 enum.py:659(<listcomp>)
     3636    0.000    0.000    0.000    0.000 inspect.py:2517(name)
     2540    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
1453/1143    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     3989    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       14    0.000    0.000    0.076    0.005 __init__.py:2(<module>)
      580    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      636    0.000    0.000    0.000    0.000 typing.py:322(__hash__)
      128    0.000    0.000    0.001    0.000 codecs.py:319(decode)
      482    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
      460    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      514    0.000    0.000    0.016    0.000 re.py:182(search)
      101    0.000    0.000    0.001    0.000 inspect.py:535(_finddoc)
       77    0.000    0.000    0.004    0.000 typing.py:626(__getitem__)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1466(_guarded_repr_or_str)
      196    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        5    0.000    0.000    0.214    0.043 functional.py:1(<module>)
     2178    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
    53/51    0.000    0.000    0.581    0.011 <frozen importlib._bootstrap_external>:1040(create_module)
      834    0.000    0.000    0.001    0.000 inspect.py:504(_is_wrapper)
       83    0.000    0.000    0.001    0.000 pyparsing.py:3870(__init__)
      128    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       67    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      410    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      171    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     2253    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       27    0.000    0.000    0.016    0.001 linecache.py:82(updatecache)
      843    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.012    0.012 mathtext.py:16(<module>)
        1    0.000    0.000    0.012    0.012 _axes.py:46(Axes)
        1    0.000    0.000    0.005    0.005 os.py:980(popen)
        2    0.000    0.000    0.000    0.000 {built-in method linspace}
       29    0.000    0.000    0.000    0.000 _utils.py:35(_dummy_type)
       12    0.000    0.000    0.002    0.000 _builtins.py:109(_get_builtin_table)
      780    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
